Accession,Species,LDStart_DOY,LDEnd_DOY,LOutStart_DOY,LOutEnd_DOY,FloStart_DOY,FloEnd_DOY,FruStart_DOY,FruEnd_DOY,RipeFruStart_DOY,RipeFruEnd_DOY,SenStart_DOY,SenEnd_DOY
10724*B,Phellodendron amurense var. lavallei,124,138,132,138,153,160,NA,NA,NA,NA,287,315
7544*C,Phellodendron amurense var. lavallei,124,138,132,138,153,153,160,315,266,315,245,301
7544*B,Phellodendron amurense var. lavallei,124,138,132,132,146,146,NA,NA,NA,NA,261,287
1236-79*A,Platanus occidentalis,124,146,132,132,139,139,139,329,315,329,277,308
1236-79*B,Platanus occidentalis,132,146,132,132,139,139,139,336,315,336,277,308
1236-79*D,Platanus occidentalis,132,154,132,132,139,139,139,336,315,336,277,329
111-58*A,Platanus occidentalis,132,154,132,132,139,139,139,329,315,329,277,296
111-58*B,Platanus occidentalis,132,154,132,132,139,139,139,329,315,329,277,296
16611*F,Populus deltoides ssp. deltoides,124,132,124,132,118,118,132,NA,NA,NA,266,287
16611*J,Populus deltoides ssp. deltoides,124,132,132,132,118,118,132,154,154,154,266,287
16611*K,Populus deltoides ssp. deltoides,124,132,132,132,118,118,132,154,154,154,266,287
16611*O,Populus deltoides ssp. deltoides,124,132,124,132,118,118,132,154,154,154,252,287
22099*A,Populus deltoides ssp. deltoides,124,140,132,132,111,118,132,NA,NA,NA,245,287
250-80*E,Pyrus calleryana var. dimorphophylla,111,140,118,132,132,132,140,NA,NA,NA,294,301
250-80*A,Pyrus calleryana var. dimorphophylla,111,140,118,132,132,132,140,329,329,329,294,329
10793*A,Pyrus calleryana var. dimorphophylla,111,140,118,132,132,132,132,294,202,294,301,329
11728*C,Pyrus ussuriensis var. hondoensis,117,132,124,124,132,132,132,NA,NA,NA,287,287
11728*A,Pyrus ussuriensis var. hondoensis,118,132,124,132,132,132,132,210,202,210,266,287
17456*A,Pyrus ussuriensis var. hondoensis,111,140,124,132,132,132,132,216,202,216,266,301
17456*B,Pyrus ussuriensis var. hondoensis,111,132,118,118,124,124,132,NA,NA,NA,245,301
11728*B,Pyrus ussuriensis var. hondoensis,111,132,124,132,124,132,132,216,202,216,252,301
358-82*A,Quercus alba,132,147,132,132,132,132,216,308,294,308,301,329
227-2011*A,Quercus alba,132,147,132,132,132,132,188,287,277,287,294,308
21815*E,Quercus alba,132,147,132,132,132,132,315,315,315,315,287,308
22886*D,Quercus alba,132,147,132,132,132,132,NA,NA,NA,NA,287,308
611-2010*A,Quercus alba,132,140,132,132,132,132,174,NA,NA,NA,287,308
16824*C,Quercus glandulifera,132,147,132,132,132,132,245,296,277,296,301,322
3672*A,Quercus glandulifera,124,147,124,132,132,132,NA,NA,NA,NA,287,308
3672*B,Quercus glandulifera,124,147,124,132,132,132,202,296,296,296,296,308
3672*C,Quercus glandulifera,124,147,124,132,132,132,202,296,296,296,296,336
5859*B,Quercus rubra,117,132,124,132,124,124,174,287,245,287,287,308
11253*A,Quercus rubra,124,147,139,139,132,132,139,287,287,287,287,308
8197*A,Quercus rubra,124,139,139,139,132,132,139,287,287,287,287,336
16882*B,Quercus rubra,124,139,139,139,132,132,153,287,287,287,287,336
5859*A,Quercus rubra,124,139,139,139,139,139,174,287,245,287,287,308
12221*A,Styphnolobium japonicum,142,160,142,147,216,222,237,336,322,336,301,322
1239-83*A,Styphnolobium japonicum,124,147,132,132,139,139,237,322,296,322,296,308
1239-83*C,Styphnolobium japonicum,124,145,132,140,216,222,245,322,301,322,301,329
17250*A,Styphnolobium japonicum,124,160,142,142,216,237,237,336,322,336,301,336
17250*B,Styphnolobium japonicum,124,147,142,142,216,222,237,329,322,329,296,308
19804*A,Tilia americana,124,138,124,138,NA,NA,NA,NA,NA,NA,296,308
1323-82*A,Tilia americana,118,142,132,132,188,188,195,301,301,301,279,308
17527*D,Tilia americana,124,138,138,138,NA,NA,NA,NA,NA,NA,287,287
7141*A,Tilia americana,124,146,138,138,174,174,188,NA,NA,NA,261,308
17538*A,Tilia americana,124,140,140,140,181,188,195,NA,NA,NA,287,308
945-63*A,Tilia japonica,117,132,124,124,160,160,195,277,266,277,245,301
3699*D,Tilia japonica,117,132,124,132,NA,NA,NA,NA,NA,NA,245,301
772-53*A,Tilia japonica,117,138,124,124,181,181,195,245,245,245,252,301
147-86*A,Tilia japonica,117,138,138,138,NA,NA,NA,NA,NA,NA,252,301
147-86*C,Tilia japonica,117,138,138,138,NA,NA,NA,NA,NA,NA,252,301
